site_id,site_name,water_body,region,latitude,longitude,date,year,month,month_name,dayofyear,weekofyear,enterococci,qualifier,safety,rainfall,rainfall_yesterday,rainfall_2days_ago,rain_yesterday_bucket,sample_type
99730,Werribee Sth,Port Phillip Bay,Western Shore,-37.974916,144.692783,2020-01-02,2020,1,Jan,2,1,5.0,<,Good,0.0,0.0,,Dry (0mm),Routine
99510,Eastern Beach,Port Phillip Bay,Western Shore,-38.146666,144.37085,2020-01-02,2020,1,Jan,2,1,31.0,=,Good,0.0,0.0,,Dry (0mm),Routine
99500,The Dell,Port Phillip Bay,Western Shore,-38.152496,144.563007,2020-01-02,2020,1,Jan,2,1,52.0,=,Caution,0.0,0.0,,Dry (0mm),Routine
99761,Portarlington Beach (new site),Port Phillip Bay,Western Shore,-38.112672,144.650817,2020-01-02,2020,1,Jan,2,1,63.0,=,Caution,0.0,0.0,,Dry (0mm),Routine
99770,St Leonards,Port Phillip Bay,Western Shore,-38.170783,144.719166,2020-01-02,2020,1,Jan,2,1,5.0,<,Good,0.0,0.0,,Dry (0mm),Routine
99998,Santa Casa,Port Phillip Bay,Western Shore,-38.272293,144.648588,2020-01-02,2020,1,Jan,2,1,5.0,<,Good,0.0,0.0,,Dry (0mm),Routine
99520,Portsea,Port Phillip Bay,Mornington Peninsula,-38.318983,144.713816,2020-01-07,2020,1,Jan,7,2,5.0,<,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99290,Sorrento,Port Phillip Bay,Mornington Peninsula,-38.343516,144.7528,2020-01-07,2020,1,Jan,7,2,170.0,=,Caution,1.2,8.2,2.2,Moderate (5-20mm),Routine
99620,Mordialloc,Port Phillip Bay,Eastern Bayside,-38.008817,145.0833,2020-01-07,2020,1,Jan,7,2,41.0,=,Caution,1.2,8.2,2.2,Moderate (5-20mm),Routine
99100,Mentone,Port Phillip Bay,Eastern Bayside,-37.9891,145.058733,2020-01-07,2020,1,Jan,7,2,10.0,=,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99280,Blairgowrie,Port Phillip Bay,Mornington Peninsula,-38.36095,144.781716,2020-01-07,2020,1,Jan,7,2,5.0,<,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99990,Beaumaris,Port Phillip Bay,Eastern Bayside,-37.994966,145.03275,2020-01-07,2020,1,Jan,7,2,10.0,=,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99530,Rye,Port Phillip Bay,Mornington Peninsula,-38.370183,144.8321,2020-01-07,2020,1,Jan,7,2,5.0,<,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99999,Black Rock Life Saving Club,Port Phillip Bay,Eastern Bayside,-37.974777,145.014242,2020-01-07,2020,1,Jan,7,2,10.0,=,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
99070,Half Moon Bay,Port Phillip Bay,Eastern Bayside,-37.968566,145.011066,2020-01-07,2020,1,Jan,7,2,5.0,<,Good,1.2,8.2,2.2,Moderate (5-20mm),Routine
