site_name,month,month_name,avg_enterococci,samples,poor_pct
Altona,1,Jan,86.25,28,10.71
Altona,2,Feb,125.92,26,3.85
Altona,3,Mar,13.69,13,0.0
Altona,4,Apr,517.22,9,11.11
Altona,5,May,17.33,6,0.0
Altona,6,Jun,31.38,8,0.0
Altona,7,Jul,12.75,4,0.0
Altona,8,Aug,42.5,4,0.0
Altona,9,Sep,22.5,8,0.0
Altona,10,Oct,28.67,9,0.0
Altona,11,Nov,352.18,11,9.09
Altona,12,Dec,103.88,24,29.17
Aspendale Life Saving Club,1,Jan,41.04,28,7.14
Aspendale Life Saving Club,2,Feb,22.84,25,0.0
Aspendale Life Saving Club,3,Mar,115.08,13,7.69
Aspendale Life Saving Club,4,Apr,223.56,9,11.11
Aspendale Life Saving Club,5,May,18.83,6,0.0
Aspendale Life Saving Club,6,Jun,35.0,8,0.0
Aspendale Life Saving Club,7,Jul,133.75,4,25.0
Aspendale Life Saving Club,8,Aug,5.0,4,0.0
Aspendale Life Saving Club,9,Sep,52.5,8,12.5
Aspendale Life Saving Club,10,Oct,27.9,10,0.0
Aspendale Life Saving Club,11,Nov,238.91,11,27.27
Aspendale Life Saving Club,12,Dec,123.21,24,8.33
Beaumaris,1,Jan,77.07,28,7.14
Beaumaris,2,Feb,71.72,25,4.0
Beaumaris,3,Mar,91.85,13,7.69
Beaumaris,4,Apr,196.89,9,11.11
Beaumaris,5,May,106.0,6,16.67
Beaumaris,6,Jun,106.38,8,12.5
Beaumaris,7,Jul,12.75,4,0.0
Beaumaris,8,Aug,20.5,4,0.0
Beaumaris,9,Sep,40.25,8,12.5
Beaumaris,10,Oct,29.89,9,0.0
Beaumaris,11,Nov,81.0,11,18.18
Beaumaris,12,Dec,91.0,24,16.67
Black Rock Life Saving Club,1,Jan,26.04,28,0.0
Black Rock Life Saving Club,2,Feb,34.88,25,4.0
Black Rock Life Saving Club,3,Mar,21.46,13,0.0
Black Rock Life Saving Club,4,Apr,259.44,9,22.22
Black Rock Life Saving Club,5,May,15.17,6,0.0
Black Rock Life Saving Club,6,Jun,27.62,8,0.0
Black Rock Life Saving Club,7,Jul,7.5,4,0.0
Black Rock Life Saving Club,8,Aug,5.0,4,0.0
Black Rock Life Saving Club,9,Sep,43.38,8,12.5
Black Rock Life Saving Club,10,Oct,11.33,9,0.0
Black Rock Life Saving Club,11,Nov,39.6,10,0.0
Black Rock Life Saving Club,12,Dec,31.22,23,0.0
Blairgowrie,1,Jan,43.11,28,3.57
Blairgowrie,2,Feb,28.64,25,4.0
Blairgowrie,3,Mar,26.17,12,0.0
Blairgowrie,4,Apr,775.56,9,11.11
Blairgowrie,5,May,41.83,6,0.0
Blairgowrie,6,Jun,36.5,8,0.0
Blairgowrie,7,Jul,17.75,4,0.0
Blairgowrie,8,Aug,6.25,4,0.0
Blairgowrie,9,Sep,261.88,8,12.5
Blairgowrie,10,Oct,67.3,10,20.0
Blairgowrie,11,Nov,164.36,11,27.27
Blairgowrie,12,Dec,504.46,24,12.5
Brighton Life Saving Club,1,Jan,49.79,24,0.0
Brighton Life Saving Club,2,Feb,23.05,21,0.0
Brighton Life Saving Club,3,Mar,66.27,11,9.09
Brighton Life Saving Club,4,Apr,269.7,10,10.0
Brighton Life Saving Club,5,May,21.0,6,0.0
Brighton Life Saving Club,6,Jun,50.25,8,0.0
Brighton Life Saving Club,7,Jul,97.5,4,25.0
Brighton Life Saving Club,8,Aug,7.5,4,0.0
Brighton Life Saving Club,9,Sep,49.38,8,0.0
Brighton Life Saving Club,10,Oct,25.78,9,0.0
Brighton Life Saving Club,11,Nov,221.73,11,18.18
Brighton Life Saving Club,12,Dec,152.6,20,10.0
Canadian Bay,1,Jan,66.39,28,7.14
Canadian Bay,2,Feb,29.0,25,4.0
Canadian Bay,3,Mar,46.23,13,7.69
Canadian Bay,4,Apr,253.5,10,20.0
Canadian Bay,5,May,75.33,6,16.67
Canadian Bay,6,Jun,552.0,8,25.0
Canadian Bay,7,Jul,176.5,4,25.0
Canadian Bay,8,Aug,435.0,4,25.0
Canadian Bay,9,Sep,17.62,8,0.0
Canadian Bay,10,Oct,709.6,10,30.0
Canadian Bay,11,Nov,54.82,11,9.09
Canadian Bay,12,Dec,129.04,24,25.0
