Site ID,Site Name,Sample datetime,Enterococci value (orgs/100 mL),Enterococci qualifier,Sample type
99730,Werribee South,2020-01-02,10,<,Routine
99510,Eastern,2020-01-02,31,=,Routine
99500,The Dell,2020-01-02,52,=,Routine
99760,Portarlington,2020-01-02,63,=,Routine
99770,St Leonards,2020-01-02,10,<,Routine
99998,Santa Casa,2020-01-02,10,<,Routine
99520,Portsea,2020-01-07,10,<,Routine
99290,Sorrento,2020-01-07,170,=,Routine
99620,Mordialloc,2020-01-07,41,=,Routine
99100,Mentone,2020-01-07,10,=,Routine
99280,Blairgowrie,2020-01-07,10,<,Routine
99990,Beaumaris,2020-01-07,10,=,Routine
99530,Rye,2020-01-07,10,<,Routine
99999,Black Rock,2020-01-07,10,=,Routine
99070,Half Moon Bay,2020-01-07,10,<,Routine
99993,Rosebud,2020-01-07,10,<,Routine
99630,Sandringham,2020-01-07,10,<,Routine
99550,Dromana,2020-01-07,10,=,Routine
99240,Safety Beach,2020-01-07,10,<,Routine
99060,Hampton,2020-01-07,10,=,Routine
99730,Werribee South,2020-01-07,20,=,Routine
99994,Mount Martha,2020-01-07,10,<,Routine
99991,Brighton,2020-01-07,10,=,Routine
99650,Elwood,2020-01-07,140,=,Routine
99992,Mornington,2020-01-07,20,=,Routine
99580,Canadian Bay,2020-01-07,30,=,Routine
99660,St Kilda,2020-01-07,52,=,Routine
99997,South Melbourne,2020-01-07,30,=,Routine
99020,Port Melbourne,2020-01-07,41,=,Routine
99590,Frankston Coast Guard,2020-01-07,20,=,Routine
99170,Frankston Life Saving Club,2020-01-07,41,=,Routine
99690,Sandridge,2020-01-07,120,=,Routine
99700,Williamstown,2020-01-07,20,=,Routine
99710,Altona,2020-01-07,41,=,Routine
99160,Seaford,2020-01-07,20,=,Routine
99510,Eastern,2020-01-07,10,=,Routine
99995,Carrum,2020-01-07,10,=,Routine
99996,Aspendale,2020-01-07,10,<,Routine
99998,Santa Casa,2020-01-07,10,<,Routine
99770,St Leonards,2020-01-07,10,=,Routine
99760,Portarlington,2020-01-07,150,=,Routine
99500,The Dell,2020-01-07,10,=,Routine
99620,Mordialloc,2020-01-14,280,=,Routine
99520,Portsea,2020-01-14,10,<,Routine
99100,Mentone,2020-01-14,420,=,Routine
99290,Sorrento,2020-01-14,10,=,Routine
99990,Beaumaris,2020-01-14,74,=,Routine
99280,Blairgowrie,2020-01-14,10,<,Routine
99999,Black Rock,2020-01-14,20,=,Routine
99530,Rye,2020-01-14,20,=,Routine
99070,Half Moon Bay,2020-01-14,98,=,Routine
99993,Rosebud,2020-01-14,10,=,Routine
99630,Sandringham,2020-01-14,10,=,Routine
99550,Dromana,2020-01-14,10,<,Routine
99060,Hampton,2020-01-14,10,<,Routine
99998,Santa Casa,2020-01-14,10,=,Routine
99240,Safety Beach,2020-01-14,10,<,Routine
99991,Brighton,2020-01-14,10,<,Routine
99994,Mount Martha,2020-01-14,10,<,Routine
99770,St Leonards,2020-01-14,10,=,Routine
99650,Elwood,2020-01-14,10,<,Routine
99992,Mornington,2020-01-14,1100,=,Routine
99580,Canadian Bay,2020-01-14,86,=,Routine
99760,Portarlington,2020-01-14,20,=,Routine
99660,St Kilda,2020-01-14,10,<,Routine
99590,Frankston Coast Guard,2020-01-14,31,=,Routine
99170,Frankston Life Saving Club,2020-01-14,86,=,Routine
99997,South Melbourne,2020-01-14,10,<,Routine
99500,The Dell,2020-01-14,30,=,Routine
99020,Port Melbourne,2020-01-14,52,=,Routine
99160,Seaford,2020-01-14,20,=,Routine
99690,Sandridge,2020-01-14,63,=,Routine
99995,Carrum,2020-01-14,10,<,Routine
99510,Eastern,2020-01-14,20,=,Routine
99996,Aspendale,2020-01-14,20,=,Routine
99700,Williamstown,2020-01-14,190,=,Routine
99710,Altona,2020-01-14,1200,=,Routine
99730,Werribee South,2020-01-14,20,=,Routine
99520,Portsea,2020-01-21,20,=,Routine
99290,Sorrento,2020-01-21,10,<,Routine
99620,Mordialloc,2020-01-21,1500,=,Routine
99280,Blairgowrie,2020-01-21,10,<,Routine
99100,Mentone,2020-01-21,210,=,Routine
99530,Rye,2020-01-21,52,=,Routine
99993,Rosebud,2020-01-21,31,=,Routine
99990,Beaumaris,2020-01-21,10,=,Routine
99550,Dromana,2020-01-21,110,=,Routine
99999,Black Rock,2020-01-21,52,=,Routine
99070,Half Moon Bay,2020-01-21,52,=,Routine
99240,Safety Beach,2020-01-21,96,=,Routine
99630,Sandringham,2020-01-21,98,=,Routine
99730,Werribee South,2020-01-21,41,=,Routine
99994,Mount Martha,2020-01-21,10,=,Routine
99060,Hampton,2020-01-21,160,=,Routine
99992,Mornington,2020-01-21,210,=,Routine
99991,Brighton,2020-01-21,160,=,Routine
99580,Canadian Bay,2020-01-21,84,=,Routine
99650,Elwood,2020-01-21,1600,=,Routine
99590,Frankston Coast Guard,2020-01-21,74,=,Routine
99660,St Kilda,2020-01-21,2100,=,Routine
99170,Frankston Life Saving Club,2020-01-21,74,=,Routine
99160,Seaford,2020-01-21,130,=,Routine
99997,South Melbourne,2020-01-21,490,=,Routine
99995,Carrum,2020-01-21,52,=,Routine
99020,Port Melbourne,2020-01-21,780,=,Routine
99690,Sandridge,2020-01-21,98,=,Routine
99996,Aspendale,2020-01-21,41,=,Routine
99510,Eastern,2020-01-21,31,=,Routine
99700,Williamstown,2020-01-21,430,=,Routine
99710,Altona,2020-01-21,97,=,Routine
99998,Santa Casa,2020-01-21,10,<,Routine
99770,St Leonards,2020-01-21,10,=,Routine
99760,Portarlington,2020-01-21,110,=,Routine
99500,The Dell,2020-01-21,30,=,Routine
99530,Rye,2020-01-28,41,=,Routine
99620,Mordialloc,2020-01-28,10,=,Routine
99290,Sorrento,2020-01-28,20,=,Routine
99280,Blairgowrie,2020-01-28,20,=,Routine
99100,Mentone,2020-01-28,20,=,Routine
99990,Beaumaris,2020-01-28,10,<,Routine
99993,Rosebud,2020-01-28,10,<,Routine
99999,Black Rock,2020-01-28,10,<,Routine
99550,Dromana,2020-01-28,10,=,Routine
99070,Half Moon Bay,2020-01-28,130,=,Routine
99240,Safety Beach,2020-01-28,20,=,Routine
99630,Sandringham,2020-01-28,10,<,Routine
99060,Hampton,2020-01-28,20,=,Routine
99730,Werribee South,2020-01-28,30,=,Routine
99991,Brighton,2020-01-28,10,=,Routine
99994,Mount Martha,2020-01-28,10,<,Routine
99992,Mornington,2020-01-28,20,=,Routine
99650,Elwood,2020-01-28,10,=,Routine
99660,St Kilda,2020-01-28,20,=,Routine
99510,Eastern,2020-01-28,31,=,Routine
99580,Canadian Bay,2020-01-28,10,<,Routine
99997,South Melbourne,2020-01-28,10,<,Routine
99020,Port Melbourne,2020-01-28,10,<,Routine
99590,Frankston Coast Guard,2020-01-28,63,=,Routine
99690,Sandridge,2020-01-28,10,<,Routine
99170,Frankston Life Saving Club,2020-01-28,10,=,Routine
99160,Seaford,2020-01-28,20,=,Routine
99500,The Dell,2020-01-28,10,=,Routine
99700,Williamstown,2020-01-28,20,=,Routine
99710,Altona,2020-01-28,10,<,Routine
