year,month,poor_pct,avg_enterococci,samples
2020,1,8.05,100.34,149
2020,2,4.9,59.21,143
2020,3,0.0,14.51,35
2020,12,15.2,180.15,171
2021,1,11.51,121.99,139
2021,2,2.14,44.46,140
2021,3,0.0,25.57,35
2021,12,7.14,58.96,140
2022,1,5.71,48.24,140
2022,2,7.09,51.34,141
2022,3,2.94,36.99,68
2022,10,15.52,139.59,58
2022,11,31.32,343.62,182
2022,12,22.97,169.45,148
2023,1,4.32,42.24,185
2023,2,0.0,14.95,177
2023,3,13.51,228.35,148
2023,4,4.73,49.39,148
2023,5,9.52,139.88,84
2023,6,10.88,140.27,147
2023,7,1.35,25.36,74
2023,8,9.72,130.61,72
2023,9,7.41,105.35,108
2023,10,11.11,341.22,108
2023,11,1.39,34.49,72
2023,12,22.92,235.26,144
2024,1,8.65,188.35,185
2024,2,1.96,27.52,153
2024,3,7.59,55.57,79
2024,4,30.17,901.74,116
2024,5,5.56,50.12,72
2024,6,15.28,511.71,72
2024,7,23.94,401.07,71
2024,8,2.78,43.79,72
2024,9,18.06,104.93,72
2024,10,0.93,17.62,108
2024,11,5.56,44.64,72
2024,12,25.93,397.58,108
2025,1,10.65,87.81,216
2025,2,1.39,30.2,144
2025,3,1.85,28.48,108
2025,4,5.56,41.42,72
2025,5,2.78,34.89,72
2025,6,8.33,77.22,72
2025,9,7.41,87.91,108
2025,10,4.17,48.58,72
2025,11,30.56,403.6,72
2025,12,18.75,138.36,144
